"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cm --output mem_cpu_unikernel_full 1 50",,,,"Date:","21 Feb 2016 03:32:11 BRT"

"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
0.825,0.483,98.667,0.024,0.000,0.001,2495467520.0,456445952.0,3150123008.0,1.2905449472e+11
0.125,0.031,99.844,0.0,0.0,0.0,2495475712.0,456445952.0,3150123008.0,1.29054486528e+11
0.063,0.0,99.937,0.0,0.0,0.0,2495778816.0,456445952.0,3150127104.0,1.29054179328e+11
0.063,0.031,99.906,0.0,0.0,0.0,2495651840.0,456445952.0,3150127104.0,1.29054306304e+11
0.063,0.031,99.906,0.0,0.0,0.0,2496675840.0,456445952.0,3150135296.0,1.29053274112e+11
0.031,0.031,99.937,0.0,0.0,0.0,2496675840.0,456445952.0,3150135296.0,1.29053274112e+11
0.063,0.0,99.937,0.0,0.0,0.0,2496811008.0,456445952.0,3150135296.0,1.29053138944e+11
0.094,0.031,99.875,0.0,0.0,0.0,2495959040.0,456445952.0,3150135296.0,1.29053990912e+11
0.094,0.031,99.875,0.0,0.0,0.0,2495729664.0,456445952.0,3150135296.0,1.29054220288e+11
0.219,0.094,99.625,0.031,0.0,0.031,2496020480.0,456445952.0,3150135296.0,1.29053929472e+11
2.105,0.534,97.361,0.0,0.0,0.0,2495393792.0,456445952.0,3150155776.0,1.2905453568e+11
0.125,0.031,99.844,0.0,0.0,0.0,2496040960.0,456445952.0,3150229504.0,1.29053814784e+11
0.815,0.125,99.060,0.0,0.0,0.0,2501345280.0,456445952.0,3150262272.0,1.29048477696e+11
3.950,1.066,94.984,0.0,0.0,0.0,2516467712.0,456450048.0,3151851520.0,1.2903176192e+11
5.978,1.565,92.457,0.0,0.0,0.0,2558574592.0,456450048.0,3151929344.0,1.28989577216e+11
10.449,1.851,87.700,0.0,0.0,0.0,2686443520.0,456450048.0,3187376128.0,1.28826261504e+11
10.986,2.723,86.228,0.0,0.0,0.063,2805026816.0,456450048.0,3316707328.0,1.28578347008e+11
19.392,3.979,76.472,0.031,0.0,0.125,2928627712.0,456454144.0,3471888384.0,1.2829956096e+11
14.824,4.523,80.559,0.031,0.0,0.063,2762846208.0,456462336.0,3796324352.0,1.28140898304e+11
11.342,2.733,82.092,3.770,0.0,0.063,3070562304.0,456462336.0,3979997184.0,1.27649509376e+11
16.488,4.657,73.222,5.632,0.0,0.0,3277799424.0,456470528.0,3989798912.0,1.27432462336e+11
33.672,9.371,56.194,0.667,0.0,0.095,3653316608.0,456470528.0,4000616448.0,1.27046127616e+11
40.101,10.750,48.991,0.0,0.0,0.158,3765952512.0,456470528.0,4133822464.0,1.26800285696e+11
28.770,9.200,61.777,0.063,0.0,0.190,3741941760.0,456491008.0,4447604736.0,1.26510493696e+11
11.376,3.897,77.153,7.542,0.0,0.031,3509968896.0,456491008.0,4465389568.0,1.26724681728e+11
14.228,6.205,75.964,3.573,0.0,0.031,3363938304.0,456499200.0,4619112448.0,1.26716981248e+11
17.820,7.646,72.512,1.959,0.0,0.063,3342049280.0,456519680.0,4863631360.0,1.2649433088e+11
20.132,5.451,74.039,0.252,0.0,0.126,3172220928.0,456921088.0,5073399808.0,1.26453989376e+11
22.915,6.547,66.478,3.935,0.0,0.126,3576004608.0,456962048.0,5139804160.0,1.25983760384e+11
24.858,5.047,62.271,7.729,0.0,0.095,4124909568.0,457003008.0,5216665600.0,1.25357953024e+11
20.672,2.890,75.055,1.288,0.0,0.094,4228915200.0,457019392.0,5292126208.0,1.251784704e+11
8.900,1.285,82.545,7.239,0.0,0.031,3707867136.0,457027584.0,5344608256.0,1.25647028224e+11
11.240,2.889,83.454,2.386,0.0,0.031,3768602624.0,457039872.0,5597814784.0,1.2533307392e+11
17.857,2.939,78.508,0.601,0.0,0.095,3985289216.0,457064448.0,5598679040.0,1.25115498496e+11
15.126,1.950,82.484,0.440,0.0,0.0,4207230976.0,457121792.0,5638164480.0,1.24854013952e+11
