"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -d --output read_write_docker_flat.csv 1 80",,,,"Date:","21 Feb 2016 23:19:27 BRT"

"dsk/total",
"read","writ"
913928.067,418838.678
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,45056.0
0.0,0.0
0.0,0.0
0.0,20480.0
0.0,0.0
0.0,0.0
0.0,32768.0
0.0,0.0
159744.0,8192.0
0.0,0.0
0.0,0.0
0.0,77824.0
0.0,0.0
0.0,0.0
192512.0,0.0
57344.0,0.0
0.0,286720.0
303104.0,3334144.0
446464.0,32768.0
45056.0,0.0
946176.0,11403264.0
143360.0,0.0
299008.0,0.0
512000.0,0.0
0.0,0.0
0.0,11354112.0
487424.0,0.0
102400.0,0.0
163840.0,23826432.0
32768.0,10727424.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
671744.0,11120640.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,131072.0
233472.0,19927040.0
4096.0,8192.0
0.0,0.0
0.0,4096.0
4096.0,20250624.0
0.0,0.0
4096.0,499712.0
16384.0,475136.0
0.0,0.0
16384.0,301666304.0
315392.0,51359744.0
4096.0,679936.0
0.0,0.0
0.0,0.0
0.0,0.0
12288.0,84615168.0
16384.0,185360384.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
20480.0,176947200.0
12288.0,199929856.0
4096.0,153305088.0
0.0,24006656.0
0.0,0.0
0.0,0.0
0.0,4476928.0
0.0,0.0
4096.0,165769216.0
4096.0,231899136.0
0.0,120983552.0
0.0,57483264.0
0.0,47792128.0
8192.0,104730624.0
0.0,0.0
0.0,0.0
