"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -d --output read_write_docker_shared.csv 1 80",,,,"Date:","21 Feb 2016 23:21:15 BRT"

"dsk/total",
"read","writ"
913877.770,419991.047
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,32768.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4096.0,20480.0
28672.0,0.0
0.0,0.0
0.0,0.0
20480.0,0.0
0.0,69632.0
16384.0,230604800.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
12288.0,397459456.0
4096.0,157122560.0
8192.0,134217728.0
8192.0,71958528.0
1052672.0,131072.0
0.0,0.0
0.0,0.0
446464.0,0.0
438272.0,0.0
0.0,0.0
0.0,581632.0
638976.0,0.0
311296.0,0.0
917504.0,0.0
667648.0,0.0
122880.0,15482880.0
327680.0,0.0
1069056.0,0.0
970752.0,0.0
978944.0,0.0
462848.0,9211904.0
61440.0,4096.0
585728.0,8192.0
700416.0,0.0
212992.0,4096.0
344064.0,18665472.0
69632.0,8192.0
0.0,4096.0
114688.0,176128.0
36864.0,0.0
4096.0,5201920.0
0.0,0.0
4096.0,507904.0
8192.0,39518208.0
90112.0,8192.0
315392.0,233472.0
8192.0,905216.0
0.0,290816.0
12288.0,5984256.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,241664.0
28672.0,207052800.0
4096.0,19034112.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,3919872.0
4096.0,255479808.0
12288.0,125333504.0
4096.0,188542976.0
0.0,81113088.0
0.0,0.0
0.0,6168576.0
0.0,0.0
0.0,0.0
24576.0,122454016.0
8192.0,105558016.0
