"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","root"
"Cmdline:","dstat -n --output network_glance_4.csv",,,,"Date:","08 Feb 2016 22:01:50 BRST"

"net/total",
"recv","send"
0.0,0.0
886.0,686.0
2527.0,1883.0
134.0,166.0
1991.0,556.0
134.0,166.0
1834.0,1982.0
27402199.0,261460.0
123204120.0,1135054.0
123251108.0,1135636.0
39411315.0,363493.0
565717.0,15196.0
105449291.0,988396.0
24433736.0,228764.0
123374412.0,1156566.0
123372890.0,1156146.0
122138605.0,1135555.0
31559000.0,297722.0
10972.0,10215.0
476.0,166.0
896.0,284.0
204.0,284.0
