"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","controller",,,,"User:","stack"
"Cmdline:","dstat -n --output uso_rede_envio_glance.csv 1 30",,,,"Date:","02 Feb 2016 14:16:21 BRST"

"net/total",
"recv","send"
0.0,0.0
322.0,332.0
2459.0,1696.0
1991.0,486.0
204.0,284.0
134.0,166.0
1834.0,1982.0
78883578.0,760538.0
123349848.0,1178384.0
122545497.0,1122454.0
122855120.0,1147316.0
122090379.0,1107521.0
122195097.0,1141352.0
34497207.0,328259.0
121831059.0,1135521.0
10686268.0,101979.0
43509862.0,407174.0
25964215.0,253038.0
565515.0,15056.0
114782126.0,915192.0
81041398.0,761591.0
80435403.0,756683.0
39336266.0,372046.0
134.0,166.0
134.0,166.0
134.0,166.0
